DE,PA,NJ,GA,CT,MA,MD,SC,NH,VA,NY,NC,RI,VT,KY,TN,OH,LA,IN,MS,IL,AL,ME,MO,AR,MI,FL,TX,IA,WI,CA,MN,OR,KS,WV,NV,NE,CO,ND,SD,MT,WA,ID,WY,UT,OK,NM,AZ,AK,HI
0.03296703296703297,0.10989010989010989,0.06593406593406594,0.054945054945054944,0.07692307692307693,0.10989010989010989,0.08791208791208792,0.07692307692307693,0.054945054945054944,0.13186813186813187,0.08791208791208792,0.07692307692307693,0.03296703296703297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022222222222222223,0.1111111111111111,0.05185185185185185,0.02962962962962963,0.06666666666666667,0.11851851851851852,0.07407407407407407,0.05925925925925926,0.044444444444444446,0.15555555555555556,0.08888888888888889,0.08888888888888889,0.02962962962962963,0.02962962962962963,0.02962962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017045454545454544,0.11363636363636363,0.045454545454545456,0.03409090909090909,0.05113636363636364,0.10795454545454546,0.0625,0.056818181818181816,0.03977272727272727,0.13636363636363635,0.10795454545454546,0.07954545454545454,0.022727272727272728,0.03409090909090909,0.045454545454545456,0.028409090909090908,0.017045454545454544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01834862385321101,0.11467889908256881,0.03669724770642202,0.03669724770642202,0.04128440366972477,0.10091743119266056,0.05045871559633028,0.05045871559633028,0.03669724770642202,0.11467889908256881,0.13302752293577982,0.06880733944954129,0.01834862385321101,0.03669724770642202,0.05504587155963303,0.03669724770642202,0.03669724770642202,0.013761467889908258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.011494252873563218,0.10727969348659004,0.03065134099616858,0.034482758620689655,0.03065134099616858,0.05747126436781609,0.0421455938697318,0.0421455938697318,0.03065134099616858,0.09195402298850575,0.13793103448275862,0.05747126436781609,0.01532567049808429,0.02681992337164751,0.05363984674329502,0.0421455938697318,0.06130268199233716,0.019157088122605363,0.019157088122605363,0.011494252873563218,0.011494252873563218,0.019157088122605363,0.034482758620689655,0.011494252873563218,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010416666666666666,0.10416666666666667,0.027777777777777776,0.03819444444444445,0.027777777777777776,0.04861111111111111,0.034722222222222224,0.03819444444444445,0.024305555555555556,0.0798611111111111,0.14583333333333334,0.052083333333333336,0.013888888888888888,0.024305555555555556,0.052083333333333336,0.052083333333333336,0.07291666666666667,0.017361111111111112,0.03125,0.013888888888888888,0.017361111111111112,0.024305555555555556,0.034722222222222224,0.013888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01090909090909091,0.09454545454545454,0.025454545454545455,0.03636363636363636,0.02181818181818182,0.04363636363636364,0.02909090909090909,0.03272727272727273,0.02181818181818182,0.06181818181818182,0.13090909090909092,0.04,0.014545454545454545,0.02181818181818182,0.04363636363636364,0.04727272727272727,0.08363636363636363,0.02181818181818182,0.04363636363636364,0.02181818181818182,0.03272727272727273,0.03272727272727273,0.03272727272727273,0.025454545454545455,0.01090909090909091,0.01818181818181818,,,,,,,,,,,,,,,,,,,,,,,,
0.010135135135135136,0.09121621621621621,0.02364864864864865,0.033783783783783786,0.02027027027027027,0.04391891891891892,0.02702702702702703,0.02702702702702703,0.016891891891891893,0.05067567567567568,0.11824324324324324,0.033783783783783786,0.013513513513513514,0.016891891891891893,0.04054054054054054,0.04054054054054054,0.0777027027027027,0.02027027027027027,0.04391891891891892,0.02364864864864865,0.037162162162162164,0.030405405405405407,0.02702702702702703,0.030405405405405407,0.013513513513513514,0.02027027027027027,0.010135135135135136,0.013513513513513514,0.013513513513513514,0.016891891891891893,0.013513513513513514,,,,,,,,,,,,,,,,,,,
0.009708737864077669,0.08414239482200647,0.022653721682847898,0.02912621359223301,0.019417475728155338,0.038834951456310676,0.022653721682847898,0.019417475728155338,0.016181229773462782,0.042071197411003236,0.10679611650485436,0.02912621359223301,0.012944983818770227,0.016181229773462782,0.03559870550161812,0.032362459546925564,0.06796116504854369,0.022653721682847898,0.042071197411003236,0.022653721682847898,0.05177993527508091,0.025889967637540454,0.022653721682847898,0.03559870550161812,0.016181229773462782,0.025889967637540454,0.009708737864077669,0.019417475728155338,0.025889967637540454,0.025889967637540454,0.016181229773462782,0.012944983818770227,0.009708737864077669,0.009708737864077669,,,,,,,,,,,,,,,,
0.00819672131147541,0.07923497267759563,0.02459016393442623,0.030054644808743168,0.01639344262295082,0.03551912568306011,0.02185792349726776,0.01912568306010929,0.01366120218579235,0.030054644808743168,0.09562841530054644,0.0273224043715847,0.01092896174863388,0.01366120218579235,0.03278688524590164,0.03278688524590164,0.060109289617486336,0.02185792349726776,0.040983606557377046,0.02185792349726776,0.05737704918032787,0.0273224043715847,0.01912568306010929,0.040983606557377046,0.01639344262295082,0.030054644808743168,0.01092896174863388,0.02185792349726776,0.030054644808743168,0.0273224043715847,0.01639344262295082,0.01366120218579235,0.00819672131147541,0.01366120218579235,0.01366120218579235,0.00819672131147541,0.00819672131147541,,,,,,,,,,,,,
